Epoch 167, Loss 40.8011, TD-Loss 17.8811, NTD-Loss 19.4644, Margin Loss 3.4540, L2 Loss 0.0016
Epoch 168, Loss 44.8036, TD-Loss 15.0981, NTD-Loss 18.6238, Margin Loss 11.0801, L2 Loss 0.0016
Epoch 169, Loss 34.1395, TD-Loss 13.0376, NTD-Loss 15.6964, Margin Loss 5.4038, L2 Loss 0.0016
Epoch 170, Loss 15.7378, TD-Loss 16.2691, NTD-Loss 16.1993, Margin Loss -16.7322, L2 Loss 0.0016
Epoch 171, Loss 43.4730, TD-Loss 17.0780, NTD-Loss 18.8733, Margin Loss 7.5201, L2 Loss 0.0016
Epoch 172, Loss 28.4961, TD-Loss 16.1342, NTD-Loss 15.5586, Margin Loss -3.1983, L2 Loss 0.0016
Epoch 173, Loss 45.8490, TD-Loss 15.0248, NTD-Loss 20.7961, Margin Loss 10.0264, L2 Loss 0.0016
Epoch 174, Loss 19.4907, TD-Loss 15.1324, NTD-Loss 12.6514, Margin Loss -8.2947, L2 Loss 0.0016
Epoch 175, Loss 31.7377, TD-Loss 15.7331, NTD-Loss 15.0236, Margin Loss 0.9794, L2 Loss 0.0016
Epoch 176, Loss 43.1355, TD-Loss 16.6099, NTD-Loss 18.4384, Margin Loss 8.0855, L2 Loss 0.0016
Epoch 177, Loss 38.2903, TD-Loss 16.0586, NTD-Loss 17.8957, Margin Loss 4.3344, L2 Loss 0.0016
Epoch 178, Loss 43.0770, TD-Loss 15.5867, NTD-Loss 17.9033, Margin Loss 9.5854, L2 Loss 0.0016
Epoch 179, Loss 40.4202, TD-Loss 13.8095, NTD-Loss 17.5471, Margin Loss 9.0620, L2 Loss 0.0016
Epoch 180, Loss 37.6807, TD-Loss 16.7225, NTD-Loss 17.1855, Margin Loss 3.7710, L2 Loss 0.0016
Epoch 181, Loss 29.6820, TD-Loss 13.5902, NTD-Loss 14.8109, Margin Loss 1.2793, L2 Loss 0.0016
Epoch 182, Loss 21.8119, TD-Loss 21.6746, NTD-Loss 17.1381, Margin Loss -17.0024, L2 Loss 0.0016
