Epoch 163, Loss 41.0735, TD-Loss 19.6516, NTD-Loss 20.9274, Margin Loss 0.4929, L2 Loss 0.0016
Epoch 164, Loss 33.2150, TD-Loss 15.4727, NTD-Loss 16.8413, Margin Loss 0.8994, L2 Loss 0.0016
Epoch 165, Loss 33.1241, TD-Loss 15.5982, NTD-Loss 16.6268, Margin Loss 0.8975, L2 Loss 0.0016
Epoch 166, Loss 40.9011, TD-Loss 19.0130, NTD-Loss 20.2013, Margin Loss 1.6851, L2 Loss 0.0016
Epoch 167, Loss 35.1781, TD-Loss 15.9073, NTD-Loss 17.3452, Margin Loss 1.9240, L2 Loss 0.0016
Epoch 168, Loss 37.0276, TD-Loss 17.2355, NTD-Loss 17.7868, Margin Loss 2.0036, L2 Loss 0.0016
Epoch 169, Loss 25.5704, TD-Loss 11.5343, NTD-Loss 12.5173, Margin Loss 1.5172, L2 Loss 0.0016
Epoch 170, Loss 27.1782, TD-Loss 13.5070, NTD-Loss 13.1604, Margin Loss 0.5092, L2 Loss 0.0016
Epoch 171, Loss 37.3818, TD-Loss 19.0765, NTD-Loss 19.0827, Margin Loss -0.7790, L2 Loss 0.0016
Epoch 172, Loss 29.8811, TD-Loss 15.6828, NTD-Loss 14.8740, Margin Loss -0.6774, L2 Loss 0.0016
Epoch 173, Loss 30.3759, TD-Loss 14.8003, NTD-Loss 14.9479, Margin Loss 0.6261, L2 Loss 0.0016
Epoch 174, Loss 28.2533, TD-Loss 13.3315, NTD-Loss 15.2056, Margin Loss -0.2854, L2 Loss 0.0016
Epoch 175, Loss 33.8712, TD-Loss 15.4488, NTD-Loss 16.9786, Margin Loss 1.4422, L2 Loss 0.0016
Epoch 176, Loss 38.2062, TD-Loss 18.3093, NTD-Loss 18.5556, Margin Loss 1.3396, L2 Loss 0.0016
Epoch 177, Loss 36.0933, TD-Loss 17.2168, NTD-Loss 17.9677, Margin Loss 0.9071, L2 Loss 0.0016
Epoch 178, Loss 30.1554, TD-Loss 15.0535, NTD-Loss 15.2371, Margin Loss -0.1369, L2 Loss 0.0016
Epoch 179, Loss 32.0582, TD-Loss 16.2649, NTD-Loss 16.5426, Margin Loss -0.7509, L2 Loss 0.0016
Epoch 180, Loss 32.2536, TD-Loss 14.4452, NTD-Loss 16.1695, Margin Loss 1.6373, L2 Loss 0.0016
Epoch 181, Loss 36.4713, TD-Loss 17.8436, NTD-Loss 18.1304, Margin Loss 0.4956, L2 Loss 0.0016
Epoch 182, Loss 31.6116, TD-Loss 14.8588, NTD-Loss 15.0077, Margin Loss 1.7435, L2 Loss 0.0016
Epoch 183, Loss 29.8851, TD-Loss 14.2199, NTD-Loss 14.7818, Margin Loss 0.8817, L2 Loss 0.0016
Epoch 184, Loss 30.8567, TD-Loss 14.5927, NTD-Loss 15.2116, Margin Loss 1.0507, L2 Loss 0.0016
Epoch 185, Loss 38.2703, TD-Loss 19.2804, NTD-Loss 18.7729, Margin Loss 0.2153, L2 Loss 0.0016
Epoch 186, Loss 28.0783, TD-Loss 13.2776, NTD-Loss 13.4347, Margin Loss 1.3643, L2 Loss 0.0016
Epoch 187, Loss 27.4078, TD-Loss 12.3221, NTD-Loss 13.3605, Margin Loss 1.7236, L2 Loss 0.0016
Epoch 188, Loss 30.1706, TD-Loss 15.4819, NTD-Loss 15.2801, Margin Loss -0.5932, L2 Loss 0.0016
Epoch 189, Loss 31.2311, TD-Loss 15.9638, NTD-Loss 15.7049, Margin Loss -0.4392, L2 Loss 0.0016
Epoch 190, Loss 27.2553, TD-Loss 13.0968, NTD-Loss 13.4988, Margin Loss 0.6581, L2 Loss 0.0017
Epoch 191, Loss 37.8378, TD-Loss 17.9440, NTD-Loss 18.7538, Margin Loss 1.1384, L2 Loss 0.0017
Epoch 192, Loss 35.0786, TD-Loss 15.9995, NTD-Loss 17.0894, Margin Loss 1.9880, L2 Loss 0.0017
Epoch 193, Loss 29.5460, TD-Loss 13.6005, NTD-Loss 14.3704, Margin Loss 1.5735, L2 Loss 0.0017
Epoch 194, Loss 37.0388, TD-Loss 17.6928, NTD-Loss 17.4538, Margin Loss 1.8905, L2 Loss 0.0017
Epoch 195, Loss 28.4191, TD-Loss 14.1612, NTD-Loss 14.4884, Margin Loss -0.2321, L2 Loss 0.0017
Epoch 196, Loss 33.6614, TD-Loss 15.9356, NTD-Loss 16.6498, Margin Loss 1.0744, L2 Loss 0.0017
Epoch 197, Loss 36.2765, TD-Loss 17.3353, NTD-Loss 17.7961, Margin Loss 1.1434, L2 Loss 0.0017
Epoch 198, Loss 33.3150, TD-Loss 15.9837, NTD-Loss 16.5591, Margin Loss 0.7705, L2 Loss 0.0017
Epoch 199, Loss 28.5046, TD-Loss 13.8750, NTD-Loss 13.9545, Margin Loss 0.6735, L2 Loss 0.0017
Epoch 200, Loss 36.6414, TD-Loss 10.2285, NTD-Loss 24.6367, Margin Loss 1.7746, L2 Loss 0.0017
